Loan Status,Current Loan Amount,Credit Score,Annual Income,dti
0,204248.0,737.0,779893.0,0.166
0,653334.0,722.0,2068891.0,0.17
0,226336.0,724.0,1409610.0,0.0539
1,216612.0,722.0,897959.0,0.254
1,218130.0,728.0,602832.0,0.182
0,431288.0,738.0,1378165.0,0.295
0,541794.0,674.0,1538145.0,0.0996
1,448404.0,746.0,1166220.0,0.199
0,117854.0,709.0,848958.0,0.213
0,196108.0,715.0,865602.0,0.158
0,337656.0,744.0,1205322.0,0.122
0,448272.0,716.0,1045285.0,0.187
1,63140.0,733.0,233681.0,0.109
0,223344.0,719.0,1157328.0,0.25
0,436172.0,744.0,1054747.0,0.155
0,157146.0,735.0,678566.0,0.223
0,178046.0,716.0,2815781.0,0.079
0,216194.0,720.0,1077528.0,0.09
0,430100.0,739.0,1448655.0,0.197
0,562760.0,738.0,1263652.0,0.118
0,118998.0,686.0,576327.0,0.209
1,334356.0,749.0,1636318.0,0.188
0,266926.0,725.0,1632936.0,0.148
1,224796.0,681.0,573819.0,0.103
0,401852.0,725.0,1263785.0,0.143
0,273482.0,693.0,1115699.0,0.147
0,323708.0,723.0,1640061.0,0.154
1,88528.0,696.0,993833.0,0.0308
0,110902.0,697.0,2202917.0,0.165
0,132022.0,727.0,855095.0,0.199
0,277948.0,707.0,1118948.0,0.316
0,219186.0,748.0,2233697.0,0.0794
0,178684.0,739.0,1176727.0,0.199
0,108526.0,743.0,1312045.0,0.0675
0,205524.0,676.0,1167132.0,0.19
1,134618.0,746.0,968905.0,0.2006
0,94974.0,694.0,301093.0,0.193
0,523248.0,668.0,1468662.0,0.321
0,588544.0,687.0,1491158.0,0.123
0,391468.0,742.0,629850.0,0.191
1,432168.0,736.0,1343642.0,0.191
0,628474.0,676.0,1235741.0,0.258
1,513524.0,659.0,1115718.0,0.307
1,141636.0,716.0,1051175.0,0.151
0,130328.0,740.0,1707207.0,0.0889
0,268664.0,718.0,1160178.0,0.166
0,448712.0,696.0,1264602.0,0.32
0,334686.0,742.0,963490.0,0.153
0,175076.0,742.0,748486.0,0.128
1,107712.0,744.0,576688.0,0.151
0,155210.0,744.0,1053265.0,0.199
0,753610.0,676.0,2212835.0,0.191
0,154748.0,748.0,1603657.0,0.0639
1,251416.0,720.0,1057293.0,0.153
0,764390.0,705.0,1603220.0,0.261
0,616902.0,647.0,1405772.0,0.159
0,170962.0,710.0,598082.0,0.149
0,332222.0,746.0,891119.0,0.158
0,440132.0,676.0,1292380.0,0.0386
0,112574.0,729.0,1555416.0,0.0826
0,88198.0,741.0,825968.0,0.0495
0,764544.0,703.0,1697859.0,0.125
0,224642.0,741.0,1056039.0,0.16
0,446336.0,683.0,1117865.0,0.0813
1,447656.0,732.0,1585113.0,0.154
1,261910.0,675.0,1438509.0,0.203
0,746372.0,715.0,2302116.0,0.212
0,146982.0,670.0,981578.0,0.306
0,533698.0,699.0,1853298.0,0.196
1,563068.0,623.0,2094807.0,0.206
0,163482.0,711.0,564756.0,0.137
0,173316.0,744.0,954275.0,0.0812
1,133936.0,639.0,347035.0,0.241
0,64526.0,747.0,185782.0,0.31
1,47806.0,671.0,835620.0,0.0441
1,147576.0,748.0,463429.0,0.222
0,657294.0,691.0,2270652.0,0.127
0,43318.0,708.0,897769.0,0.0988
0,44792.0,723.0,502892.0,0.186
0,268004.0,750.0,867996.0,0.296
0,776864.0,687.0,1629383.0,0.257
0,273856.0,614.0,821826.0,0.128
0,33154.0,713.0,572793.0,0.281
0,450384.0,746.0,1166904.0,0.324
0,662310.0,699.0,1258389.0,0.126
0,353232.0,712.0,823707.0,0.199
0,221056.0,741.0,954560.0,0.118
0,319726.0,749.0,952185.0,0.215
0,460350.0,736.0,888041.0,0.254
0,133606.0,701.0,2538343.0,0.0865
1,79948.0,741.0,230147.0,0.228
1,767690.0,731.0,1629098.0,0.104
0,328350.0,745.0,1343243.0,0.103
0,380622.0,657.0,969665.0,0.33
0,281710.0,728.0,831953.0,0.187
1,418572.0,704.0,1201788.0,0.239
0,161656.0,749.0,874874.0,0.1677
0,87274.0,719.0,753692.0,0.0639
0,294580.0,744.0,1734624.0,0.0557
0,39138.0,731.0,751336.0,0.174
0,516978.0,712.0,1261809.0,0.147
0,449724.0,720.0,925946.0,0.0861
0,260436.0,734.0,1244272.0,0.115
1,539176.0,712.0,1154801.0,0.149
0,264396.0,737.0,1712565.0,0.14
1,242264.0,744.0,584345.0,0.255
0,251196.0,740.0,1051536.0,0.264
1,224312.0,700.0,678034.0,0.231
0,222728.0,615.0,905160.0,0.248
0,450648.0,737.0,1634627.0,0.0776
0,407528.0,711.0,928226.0,0.239
0,152372.0,697.0,845937.0,0.0408
0,704946.0,717.0,1352914.0,0.248
0,87472.0,695.0,679896.0,0.1213
1,234036.0,703.0,665798.0,0.203
0,223146.0,719.0,573819.0,0.228
0,649902.0,695.0,1309651.0,0.0624
0,214632.0,722.0,1448237.0,0.275
0,396286.0,741.0,2528767.0,0.0812
1,268664.0,727.0,899954.0,0.231
0,405746.0,742.0,1168044.0,0.221
0,188166.0,747.0,2408554.0,0.0378
0,358578.0,711.0,1509721.0,0.0251
0,94534.0,718.0,777556.0,0.199
0,767624.0,733.0,2083825.0,0.13
0,403964.0,744.0,1763561.0,0.122
0,531168.0,724.0,1834944.0,0.152
0,390896.0,735.0,804460.0,0.178
0,134794.0,736.0,927523.0,0.148
0,134596.0,723.0,1356201.0,0.162
0,311850.0,723.0,694564.0,0.212
0,429000.0,746.0,926250.0,0.35
1,215446.0,720.0,1308283.0,0.11
0,375650.0,724.0,768398.0,0.2008
1,781022.0,653.0,2004253.0,0.2155
1,131934.0,717.0,531734.0,0.37
0,158026.0,716.0,1091854.0,0.121
0,130746.0,734.0,1018590.0,0.199
0,208670.0,703.0,566124.0,0.0808
0,298166.0,717.0,2247396.0,0.19
0,430012.0,723.0,1392662.0,0.185
1,44022.0,666.0,910727.0,0.261
1,140888.0,693.0,1166296.0,0.0761
0,260216.0,664.0,1685547.0,0.126
0,151602.0,739.0,1084805.0,0.0797
1,220770.0,705.0,571995.0,0.229
0,176220.0,717.0,1027235.0,0.109
0,324346.0,742.0,954370.0,0.214
0,259138.0,751.0,2517804.0,0.07
1,32450.0,711.0,653904.0,0.216
1,388168.0,744.0,2234856.0,0.215
1,261492.0,732.0,463258.0,0.226
0,171776.0,747.0,1168272.0,0.116
0,648516.0,730.0,1400205.0,0.183
0,214962.0,745.0,540607.0,0.171
0,448932.0,738.0,1473317.0,0.143
0,447524.0,741.0,2705486.0,0.133
1,484968.0,733.0,1523040.0,0.241
1,129756.0,745.0,1270036.0,0.2426
1,221320.0,740.0,860130.0,0.0752
0,66572.0,747.0,785707.0,0.208
0,462792.0,749.0,2207743.0,0.108
1,445632.0,680.0,877059.0,0.167
1,219054.0,723.0,1067154.0,0.275
0,132616.0,743.0,1527144.0,0.317
0,590986.0,613.0,1156511.0,0.2289
0,96800.0,712.0,371564.0,0.222
0,43054.0,747.0,490713.0,0.2041
1,321420.0,745.0,1542192.0,0.0942
0,483098.0,698.0,1467978.0,0.273
0,257554.0,732.0,885096.0,0.152
0,268752.0,747.0,812364.0,0.0983
0,147400.0,745.0,2314428.0,0.104
0,387288.0,740.0,2489988.0,0.0895
0,234762.0,731.0,784833.0,0.0911
0,264836.0,703.0,1277066.0,0.136
0,223102.0,724.0,1965322.0,0.127
0,434896.0,723.0,1032878.0,0.24
0,156552.0,720.0,1840397.0,0.205
0,132000.0,713.0,440895.0,0.185
0,358116.0,721.0,1507783.0,0.276
1,108130.0,730.0,672372.0,0.1407
1,526460.0,688.0,1041979.0,0.326
0,608014.0,709.0,1067686.0,0.185
1,288354.0,618.0,2298696.0,0.174
0,132462.0,691.0,781736.0,0.0638
0,306482.0,740.0,1134414.0,0.24
0,327866.0,726.0,1359108.0,0.0507
0,110044.0,729.0,1478637.0,0.224
0,131560.0,740.0,1488479.0,0.294
0,109714.0,744.0,1629744.0,0.0359
0,111980.0,722.0,1160520.0,0.299
1,337436.0,730.0,687971.0,0.215
0,351714.0,740.0,837235.0,0.0939
0,110462.0,738.0,1526384.0,0.0399
0,266926.0,749.0,922127.0,0.131
0,337150.0,721.0,1119936.0,0.171
0,156090.0,706.0,1872260.0,0.162
0,172040.0,748.0,670985.0,0.194
0,150788.0,739.0,2009326.0,0.0704
0,263318.0,738.0,707085.0,0.22
0,552750.0,723.0,954750.0,0.0426
0,762454.0,695.0,1467484.0,0.0834
0,304062.0,636.0,2344600.0,0.0469
0,230362.0,731.0,1013479.0,0.2878
0,87428.0,743.0,692474.0,0.129
0,132704.0,746.0,1375391.0,0.109
0,316998.0,702.0,836494.0,0.286
0,121440.0,731.0,749132.0,0.28
0,178640.0,705.0,1292095.0,0.114
0,671836.0,707.0,1318695.0,0.164
0,588962.0,678.0,1412897.0,0.142
0,175010.0,703.0,785973.0,0.151
0,429440.0,674.0,1383599.0,0.102
0,109582.0,744.0,1514224.0,0.0843
0,483604.0,731.0,1213853.0,0.207
1,341308.0,741.0,669503.0,0.167
0,152416.0,747.0,637241.0,0.2358
0,77000.0,711.0,674044.0,0.177
1,535920.0,743.0,1253525.0,0.137
0,553916.0,594.0,2009174.0,0.1759
1,134992.0,728.0,437209.0,0.266
0,765226.0,726.0,2643508.0,0.158
1,218702.0,717.0,576992.0,0.189
0,77814.0,748.0,529967.0,0.0574
0,262174.0,703.0,935655.0,0.115
0,148214.0,747.0,911487.0,0.2689
1,215776.0,729.0,1583992.0,0.112
0,755062.0,681.0,1769983.0,0.188
0,215974.0,716.0,1585455.0,0.126
0,328548.0,704.0,1172813.0,0.164
0,397738.0,736.0,1622106.0,0.188
0,347996.0,700.0,686945.0,0.0687
1,432520.0,745.0,1029477.0,0.207
0,776864.0,724.0,1380179.0,0.1008
0,335082.0,721.0,1215430.0,0.129
1,220286.0,734.0,1731242.0,0.205
1,329054.0,710.0,1136694.0,0.167
0,231264.0,656.0,433371.0,0.196
0,61358.0,726.0,756884.0,0.302
1,220396.0,680.0,1903420.0,0.115
1,353782.0,646.0,1524313.0,0.156
1,356444.0,713.0,1269808.0,0.2853
0,111034.0,699.0,348707.0,0.205
0,389620.0,743.0,985530.0,0.255
0,523292.0,713.0,1788945.0,0.225
0,215622.0,743.0,1899430.0,0.216
0,222112.0,741.0,1822328.0,0.0428
1,429572.0,700.0,1597577.0,0.176
0,318538.0,749.0,1623892.0,0.0389
0,135014.0,741.0,1865591.0,0.239
0,333036.0,727.0,1629858.0,0.0582
0,351076.0,716.0,758024.0,0.139
0,209462.0,669.0,1828009.0,0.193
1,221496.0,728.0,956460.0,0.155
0,54230.0,742.0,842859.0,0.138
1,64592.0,686.0,1299581.0,0.325
0,152592.0,741.0,805790.0,0.153
1,322520.0,709.0,1648896.0,0.216
0,111914.0,701.0,1063183.0,0.0899
0,237116.0,721.0,655310.0,0.126
0,341550.0,682.0,823612.0,0.279
1,279862.0,680.0,929575.0,0.0852
0,333212.0,692.0,959215.0,0.334
1,208670.0,720.0,575130.0,0.263
1,219692.0,734.0,1413524.0,0.0939
0,707872.0,713.0,2330749.0,0.209
1,77286.0,697.0,1964429.0,0.0824
1,246774.0,746.0,968715.0,0.281
0,265694.0,739.0,655633.0,0.231
1,288420.0,687.0,1286490.0,0.0408
1,271700.0,696.0,675298.0,0.254
0,222684.0,707.0,1634703.0,0.207
0,196196.0,739.0,378632.0,0.0672
1,219538.0,751.0,1611618.0,0.0864
0,297902.0,713.0,808317.0,0.215
1,322300.0,733.0,891480.0,0.32
0,407132.0,668.0,1233765.0,0.0279
1,357588.0,739.0,1374650.0,0.166
0,223168.0,707.0,819128.0,0.254
1,214940.0,727.0,1095217.0,0.1253
0,216128.0,715.0,1175929.0,0.158
0,246202.0,720.0,1404879.0,0.112
0,105798.0,722.0,628197.0,0.197
1,423214.0,718.0,1186949.0,0.255
0,188298.0,723.0,1281778.0,0.204
1,111122.0,693.0,767752.0,0.0654
0,259270.0,741.0,1306193.0,0.304
1,178948.0,740.0,1352344.0,0.227
0,217338.0,704.0,2721674.0,0.129
1,263362.0,731.0,614118.0,0.1622
0,287408.0,699.0,992845.0,0.0727
0,107998.0,750.0,634182.0,0.2689
1,450912.0,717.0,1168272.0,0.201
0,182028.0,723.0,655025.0,0.371
0,214764.0,730.0,983041.0,0.155
0,175956.0,749.0,664867.0,0.252
1,400400.0,719.0,1152654.0,0.292
1,628584.0,692.0,1217102.0,0.196
0,162074.0,712.0,583224.0,0.096
0,345136.0,703.0,1117770.0,0.0748
0,266794.0,686.0,576042.0,0.257
0,446160.0,741.0,1541280.0,0.22
0,347028.0,743.0,1685889.0,0.0629
0,283426.0,738.0,1355688.0,0.0798
0,270556.0,724.0,1752408.0,0.165
0,322476.0,711.0,1262550.0,0.23
0,441364.0,691.0,1315066.0,0.155
0,247786.0,748.0,1361787.0,0.1171
0,334070.0,704.0,927523.0,0.0664
0,54824.0,747.0,830813.0,0.0741
1,105468.0,738.0,702088.0,0.0172
0,137852.0,732.0,1395227.0,0.0242
0,131274.0,723.0,543837.0,0.229
1,46156.0,654.0,1640745.0,0.232
0,67496.0,725.0,582825.0,0.122
1,138380.0,735.0,485792.0,0.199
0,172436.0,740.0,1340222.0,0.134
0,336732.0,738.0,1970072.0,0.218
0,107932.0,735.0,1211782.0,0.279
0,346060.0,711.0,765833.0,0.21
0,217888.0,735.0,1223144.0,0.0899
1,216524.0,688.0,934990.0,0.206
1,261448.0,719.0,940785.0,0.149
1,430804.0,738.0,1130120.0,0.0925
1,163878.0,741.0,1439402.0,0.117
0,227546.0,709.0,561450.0,0.345
0,560516.0,652.0,1374897.0,0.2196
0,470316.0,719.0,2393487.0,0.136
1,190784.0,704.0,711455.0,0.0846
1,395846.0,725.0,829597.0,0.264
1,450120.0,673.0,981578.0,0.238
0,270402.0,690.0,1044373.0,0.206
0,129184.0,735.0,948366.0,0.115
1,247500.0,664.0,1347955.0,0.0265
1,396792.0,669.0,875748.0,0.307
0,109582.0,744.0,813903.0,0.172
0,391314.0,735.0,762660.0,0.237
0,520454.0,716.0,1323825.0,0.218
0,330792.0,733.0,1885522.0,0.133
0,222530.0,690.0,595783.0,0.349
1,446820.0,715.0,1254228.0,0.0615
0,79530.0,691.0,953990.0,0.34
1,262988.0,721.0,794960.0,0.285
1,110814.0,742.0,459325.0,0.217
0,385308.0,678.0,1823715.0,0.0455
0,158620.0,694.0,475665.0,0.0984
0,146366.0,724.0,816753.0,0.2037
0,435512.0,745.0,1128372.0,0.18
0,130944.0,720.0,584288.0,0.202
0,134684.0,735.0,579899.0,0.152
0,352220.0,750.0,2129273.0,0.0612
1,133012.0,717.0,1194606.0,0.1277
1,260260.0,730.0,1236197.0,0.204
0,360052.0,719.0,721582.0,0.225
0,259028.0,698.0,2469753.0,0.108
0,267542.0,746.0,1578881.0,0.119
0,221276.0,743.0,1299486.0,0.114
0,222420.0,712.0,2723840.0,0.187
0,280852.0,738.0,1585930.0,0.218
0,386694.0,740.0,1726910.0,0.121
0,224092.0,721.0,696730.0,0.184
0,65912.0,732.0,948575.0,0.0627
1,177144.0,675.0,705394.0,0.327
1,94908.0,738.0,768170.0,0.0825
0,220770.0,741.0,591071.0,0.245
0,568414.0,717.0,1116744.0,0.136
0,380512.0,728.0,948594.0,0.289
0,227722.0,673.0,578892.0,0.276
0,180290.0,741.0,1297548.0,0.157
0,134882.0,738.0,990223.0,0.167
0,79772.0,703.0,1569381.0,0.255
1,216942.0,735.0,599545.0,0.234
0,64856.0,722.0,1306991.0,0.139
0,195206.0,750.0,1015588.0,0.1516
1,467632.0,726.0,1148436.0,0.103
0,555060.0,699.0,1143610.0,0.159
0,590414.0,692.0,1243645.0,0.0404
0,189002.0,703.0,2431962.0,0.122
0,395538.0,697.0,747213.0,0.288
0,447920.0,683.0,1005784.0,0.0939
0,302588.0,730.0,1133673.0,0.0809
0,106106.0,719.0,954579.0,0.0578
0,302764.0,738.0,1531514.0,0.105
0,747736.0,646.0,1538696.0,0.161
0,216018.0,736.0,1212656.0,0.0262
0,132022.0,695.0,665076.0,0.126
0,129184.0,751.0,1001186.0,0.145
1,138160.0,728.0,691828.0,0.235
0,303688.0,703.0,950285.0,0.177
0,175604.0,722.0,568746.0,0.169
0,112332.0,699.0,873050.0,0.217
1,331188.0,641.0,1525472.0,0.141
1,107734.0,729.0,651301.0,0.0586
0,504284.0,718.0,989919.0,0.148
0,110242.0,716.0,914014.0,0.177
0,401038.0,714.0,1421941.0,0.0874
0,293744.0,686.0,743318.0,0.181
0,214456.0,718.0,1543408.0,0.277
1,672804.0,720.0,2699976.0,0.148
1,192214.0,746.0,1131792.0,0.171
0,391732.0,716.0,845766.0,0.2
0,92092.0,723.0,852188.0,0.147
1,495066.0,712.0,1766012.0,0.161
0,614108.0,682.0,1444722.0,0.328
0,214896.0,726.0,2301337.0,0.106
0,328790.0,719.0,1390838.0,0.0577
1,325776.0,739.0,1312976.0,0.218
1,266882.0,698.0,1382915.0,0.1907
0,171380.0,747.0,801762.0,0.1406
0,225126.0,719.0,1788736.0,0.101
0,565840.0,734.0,1582377.0,0.296
0,155452.0,743.0,1726074.0,0.256
0,134288.0,723.0,869801.0,0.184
0,285670.0,744.0,934515.0,0.078
0,70136.0,705.0,946295.0,0.302
0,594000.0,685.0,1069966.0,0.168
0,268532.0,720.0,1855369.0,0.187
0,151096.0,747.0,1134642.0,0.195
1,769780.0,702.0,1519544.0,0.211
1,171644.0,748.0,1111728.0,0.291
1,223762.0,734.0,618393.0,0.299
1,522456.0,705.0,1302469.0,0.327
0,522610.0,728.0,1067515.0,0.281
0,325292.0,707.0,1217349.0,0.25
0,375298.0,728.0,926041.0,0.221
0,120670.0,742.0,654227.0,0.116
0,162932.0,748.0,844227.0,0.1902
0,520542.0,743.0,1251435.0,0.241
1,391248.0,669.0,1392719.0,0.291
0,108834.0,704.0,1447344.0,0.0926
1,264616.0,731.0,1333059.0,0.216
0,155254.0,730.0,1448028.0,0.132
1,109692.0,735.0,625252.0,0.109
0,312818.0,740.0,1088111.0,0.223
1,414414.0,740.0,813732.0,0.0653
0,43824.0,720.0,408709.0,0.238
0,172700.0,723.0,775542.0,0.307
0,269104.0,715.0,1297567.0,0.126
0,327096.0,735.0,903982.0,0.34
0,449636.0,721.0,2524093.0,0.0967
0,214566.0,694.0,965105.0,0.106
0,87252.0,746.0,1789667.0,0.1081
0,143506.0,739.0,896135.0,0.184
0,92642.0,689.0,571539.0,0.1244
0,214874.0,731.0,1540254.0,0.154
0,372196.0,665.0,1243645.0,0.104
0,153780.0,710.0,531202.0,0.195
0,787644.0,683.0,1749159.0,0.169
1,222816.0,725.0,1520209.0,0.0986
1,268730.0,681.0,1218432.0,0.1952
0,479490.0,680.0,2032924.0,0.174
1,760298.0,654.0,2251272.0,0.108
0,151822.0,723.0,936605.0,0.0977
0,46486.0,747.0,420679.0,0.256
1,562826.0,699.0,1060884.0,0.284
0,168102.0,714.0,427272.0,0.388
1,218284.0,721.0,1319626.0,0.119
0,387310.0,708.0,1368418.0,0.126
0,334092.0,737.0,1442670.0,0.136
0,274274.0,747.0,1540672.0,0.0673
0,172040.0,705.0,722988.0,0.0971
0,67584.0,716.0,856140.0,0.132
0,258060.0,695.0,1634380.0,0.0286
0,196658.0,732.0,650655.0,0.278
0,335720.0,728.0,966435.0,0.114
0,178508.0,739.0,2312604.0,0.113
0,346258.0,742.0,1626058.0,0.0342
0,132968.0,728.0,880460.0,0.129
0,218900.0,748.0,1890500.0,0.0809
0,510334.0,718.0,900239.0,0.2035
0,132550.0,654.0,622478.0,0.274
0,307538.0,739.0,1043442.0,0.256
1,582912.0,685.0,1411472.0,0.0864
0,98252.0,725.0,1602897.0,0.257
0,248248.0,710.0,618089.0,0.135
0,82126.0,717.0,2015672.0,0.138
1,523204.0,739.0,1694439.0,0.2
0,332970.0,723.0,996892.0,0.231
1,481470.0,722.0,717630.0,0.2316
0,154594.0,722.0,434853.0,0.0632
1,367796.0,710.0,1172566.0,0.349
1,769230.0,738.0,2694257.0,0.0449
0,333168.0,682.0,1163750.0,0.254
0,667062.0,725.0,1843513.0,0.207
1,181984.0,693.0,562932.0,0.329
1,382690.0,730.0,756504.0,0.272
0,142186.0,705.0,793459.0,0.249
0,225830.0,681.0,2250360.0,0.144
0,403810.0,674.0,1375581.0,0.115
0,133496.0,709.0,480415.0,0.28
0,40524.0,719.0,671194.0,0.188
0,455400.0,732.0,1375581.0,0.204
0,540430.0,740.0,1493552.0,0.1296
0,299420.0,677.0,836589.0,0.0968
0,451462.0,698.0,2228016.0,0.0802
1,203544.0,728.0,532114.0,0.204
1,217734.0,731.0,1222289.0,0.247
0,111496.0,741.0,1328822.0,0.183
0,268840.0,738.0,1528474.0,0.237
0,183326.0,707.0,1248053.0,0.148
